test_time_utc	model	quant	threads	prompt_tps	gen_tps	pg_tps	cpu_info	gpu_info	cuda	vulkan	metal	sycl	gpu_blas	blas	flash_attn	n_gpu_layers	type_k	type_v	bench_opts	source
2025-11-21T19:50:33Z	qwen3-0.6b	F16	4	11.531463	2.808281	6.943194	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T20:09:23Z	qwen3-0.6b	IQ3_M	4	10.339345	6.996084	9.083193	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T20:24:44Z	qwen3-0.6b	IQ3_XS	4	10.354978	7.507716	9.222997	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T20:39:54Z	qwen3-0.6b	IQ4_NL	4	17.190463	8.495529	13.435247	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T20:50:47Z	qwen3-0.6b	Q3_K_L	4	15.762509	8.533488	12.763472	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T21:02:11Z	qwen3-0.6b	Q3_K_M	4	16.969673	9.209902	13.635129	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T21:12:57Z	qwen3-0.6b	Q3_K_S	4	15.200488	9.697221	12.941562	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T21:24:18Z	qwen3-0.6b	Q4_0	4	18.891714	8.418133	14.226817	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T21:34:42Z	qwen3-0.6b	Q4_1	4	18.566398	8.084612	13.944718	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T21:45:16Z	qwen3-0.6b	Q4_K_M	4	19.65983	8.246625	14.452565	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T21:55:29Z	qwen3-0.6b	Q4_K_S	4	20.444597	8.450402	14.919478	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T22:05:29Z	qwen3-0.6b	Q5_0	4	15.984154	7.602457	12.420334	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T22:17:09Z	qwen3-0.6b	Q5_1	4	15.551855	7.19945	12.024065	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T22:29:09Z	qwen3-0.6b	Q5_K_M	4	16.698781	7.509821	12.6749	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T22:40:35Z	qwen3-0.6b	Q5_K_S	4	16.787624	7.550468	12.78584	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T22:51:59Z	qwen3-0.6b	Q6_K	4	15.794191	6.808306	11.956156	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T23:04:07Z	qwen3-0.6b	Q8_0	4	19.798262	5.038738	11.937524	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T23:16:13Z	qwen2.5-0.5b-instruct	F16	4	17.806197	3.662054	9.904778	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T23:30:03Z	qwen2.5-0.5b-instruct	IQ3_M	4	19.76361	9.226042	15.636683	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T23:39:49Z	qwen2.5-0.5b-instruct	IQ3_XS	4	19.207425	8.998713	15.246374	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T23:49:48Z	qwen2.5-0.5b-instruct	IQ4_NL	4	24.705447	9.774464	18.341332	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-21T23:58:26Z	qwen2.5-0.5b-instruct	Q3_K_L	4	24.295592	9.426271	17.928193	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T00:07:14Z	qwen2.5-0.5b-instruct	Q3_K_M	4	25.797434	9.703322	18.740748	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T00:15:40Z	qwen2.5-0.5b-instruct	Q3_K_S	4	23.728653	10.074561	18.13889	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T00:24:22Z	qwen2.5-0.5b-instruct	Q4_0	4	27.46933	9.835095	19.538751	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T00:32:33Z	qwen2.5-0.5b-instruct	Q4_1	4	27.185429	9.13793	18.915677	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T00:40:58Z	qwen2.5-0.5b-instruct	Q4_K_M	4	24.335898	9.165625	17.719384	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T00:49:51Z	qwen2.5-0.5b-instruct	Q4_K_S	4	24.299154	9.10684	17.675343	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T00:58:43Z	qwen2.5-0.5b-instruct	Q5_0	4	22.808597	8.892166	16.857244	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T01:07:55Z	qwen2.5-0.5b-instruct	Q5_1	4	22.036663	8.336382	16.100829	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T01:17:28Z	qwen2.5-0.5b-instruct	Q5_K_M	4	22.377036	8.426749	16.345012	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T01:26:56Z	qwen2.5-0.5b-instruct	Q5_K_S	4	22.44439	8.625337	16.569049	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T01:36:22Z	qwen2.5-0.5b-instruct	Q6_K	4	26.585826	7.124909	16.733032	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T01:45:37Z	qwen2.5-0.5b-instruct	Q8_0	4	29.188775	6.779722	17.076457	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T01:54:35Z	gemma3-270m-instruct	F16	4	56.089079	6.675983	21.812695	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T02:01:49Z	gemma3-270m-instruct	IQ3_M	4	61.907499	14.083185	35.349403	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T02:07:10Z	gemma3-270m-instruct	IQ3_XS	4	54.95667	14.101954	33.418229	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T02:12:44Z	gemma3-270m-instruct	IQ4_NL	4	70.594054	14.542552	37.921795	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T02:17:50Z	gemma3-270m-instruct	Q3_K_L	4	69.794526	14.296947	37.593724	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T02:22:59Z	gemma3-270m-instruct	Q3_K_M	4	73.87524	14.513239	38.956458	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
2025-11-22T02:28:01Z	gemma3-270m-instruct	Q3_K_S	4	68.276012	14.786602	37.724925	CPU	NA	NA	NA	NA	NA	NA	NA	NA	99	f16	f16	bench:p=512;n=128;r=5;ctk=NA;ctv=NA	file
